mearth,earth,mercury,moon,0.01_hhe,0.1_hhe,1_hhe,halfwater,allwater,allfe,10_hhe,20_water,10_water,3_water,60_hhe
1.0,6378.139299,5836.44967,7072.528187999999,9223.168465,14746.171759,,12422.115398000002,16903.65407,4964.5706310000005,,9762.598965230778,8722.455846135761,7853.365165765129,68260.7249128
1.0034100000000001,6384.039318,5841.813251,7078.908493000001,9228.531764,14742.361222999998,,12423.962532,16901.464485,4969.285664,,9766.023626861532,8726.176656811136,7857.29341389148,68263.78522901566
1.006832,6389.944795,5847.18176,7085.294553,9233.898181,14738.551672,,12425.809941,16899.275183999995,4974.005176,,9769.457604112704,8729.907427094433,7861.232056048209,68266.95868419445
1.0102659999999999,6395.855735,5852.555204,7091.686375,9239.267719,14734.743105000001,,12427.657625,16897.086166,4978.729169,,9772.900870853522,8733.648126762995,7865.181059232531,68270.14326779585
1.0137120000000002,6401.772142,5857.933585,7098.083962999999,9244.640379,14730.935522,,12429.505583,16894.897431999998,4983.457649,,9776.3534009067,8737.398725535613,7869.140390378981,68273.33897981985
1.0171690000000002,6407.694023,5863.316909,7104.487322,9250.016163,14727.128922999998,,12431.353815999999,16892.708981,4988.19062,,9779.814167362543,8741.158106066003,7873.108868911093,68276.5448928979
1.020638,6413.621381,5868.70518,7110.896458,9255.395074,14723.323308,,12433.202324000002,16890.520814,4992.928086,,9783.284146255157,8744.927326817213,7877.087611115988,68279.76193439854
1.024118,6419.554223,5874.098403,7117.311375,9260.777112,14719.518677000002,,12435.051107,16888.332931,4997.670051,,9786.76231220828,8748.70527219004,7881.075438331604,68282.98917695326
1.027611,6425.492553,5879.496582,7123.73208,9266.16228,14715.715028,,12436.900164,16886.14533,5002.416520000001,,9790.250637816709,8752.494082916197,7885.074609112012,68286.22847529911
1.031116,6431.436375,5884.899722,7130.158576999999,9271.55058,14711.912363,,12438.749497,16883.958013,5007.1674969999995,,9793.748096804533,8756.292642354707,7889.08394365813,68289.47890206757
1.034632,6437.385696,5890.3078270000005,7136.590872,9276.942012000001,14708.110680000002,,12440.599105,16881.77098,5011.922986,,9797.253666104674,8760.099837537478,7893.102266191008,68292.73952989008
1.0381610000000001,6443.340521,5895.720903,7143.028969,9282.33658,14704.309979,,12442.448987,16879.584229,5016.682991,,9800.769313300592,8763.917803435757,7897.131828966259,68296.01221350374
1.0417010000000002,6449.300854,5901.138952,7149.472873999999,9287.734284999999,14700.51026,,12444.299145000005,16877.397762,5021.447518,,9804.293019434968,8767.744345561421,7901.170314762501,68299.29509817145
1.0452540000000001,6455.2667,5906.561981,7155.922593000001,9293.135129,14696.711524,,12446.149578,16875.211578999995,5026.216569,,9807.82674873299,8771.581595024509,7905.219971613786,68302.59003863033
1.048819,6461.238065,5911.989994,7162.37813,9298.539112999999,14692.913768999999,,12448.000286,16873.025678,5030.990149,,9811.369478773637,8775.428439576006,7909.279624533783,68305.8961075118
1.0523959999999999,6467.214954,5917.422995,7168.83949,9303.946240000001,14689.116994999998,,12449.851268999999,16870.840059999995,5035.768264,,9814.921182901324,8779.284848327767,7913.349239808817,68309.21330481587
1.055985,6473.197372,5922.860988,7175.30668,9309.356511000002,14685.321203,,12451.702528,16868.654726,5040.550915999999,,9818.481834418984,8783.15079033858,7917.428783668667,68312.54163054255
1.0595860000000001,6479.185323,5928.303979,7181.779703,9314.769928,14681.526391,,12453.554061,16866.469675,5045.338110000001,,9822.05140658847,8787.026234614637,7921.518222287091,68315.88108469182
1.0632,6485.178814,5933.751972,7188.258567,9320.186493000001,14677.732559999999,,12455.40587,16864.284906,5050.129851,,9825.630862656884,8790.91222489317,7925.618655857518,68319.23259463225
1.066826,6491.177849000001,5939.2049719999995,7194.743275,9325.606206999999,14673.939709999999,,12457.257955,16862.100421,5054.926143,,9829.219184112,8794.807653380265,7929.728914275232,68322.59523299529
1.0704639999999999,6497.182433,5944.662982,7201.233833,9331.029073,14670.147839,,12459.110315000002,16859.916218999995,5059.72699,,9832.816344089384,8798.712488920368,7933.848963541697,68325.96899978092
1.074115,6503.192572,5950.1260090000005,7207.730245999999,9336.455093,14666.356947999999,,12460.96295,16857.732299,5064.532397,,9836.423303203872,8802.627772213238,7937.979900532417,68329.35482235771
1.0777780000000001,6509.20827,5955.594056,7214.232519999999,9341.884268000002,14662.567037,,12462.815861,16855.548662999998,5069.342367,,9840.039045315121,8806.552398169213,7942.120558105645,68332.7517733571
1.081453,6515.229533,5961.067128,7220.7406599999995,9347.3166,14658.778106,,12464.669047,16853.365309,5074.156906,,9843.663543436393,8810.486335475367,7946.270902095451,68336.15985277909
1.085142,6521.256366,5966.54523,7227.254670999999,9352.752091,14654.990153,,12466.522509,16851.182238,5078.976017,,9847.29874053037,8814.431690785146,7950.43315379935,68339.58091536078
1.0888420000000003,6527.288774000001,5972.028366,7233.774558,9358.190743000001,14651.203178999998,,12468.376246,16848.99945,5083.799704999999,,9850.941652017624,8818.385222752628,7954.603892489262,68343.01217899653
1.0925559999999999,6533.326762,5977.51654,7240.300327,9363.632556999999,14647.417184,,12470.230259000002,16846.816944999995,5088.627975,,9854.59520323138,8822.350104015666,7958.786463917019,68346.45642579198
1.096282,6539.370336,5983.0097590000005,7246.831983,9369.077536,14643.632166999998,,12472.084548,16844.634723,5093.46083,,9858.257397031579,8826.324165031767,7962.978578173548,68349.91180101004
1.100021,6545.4195,5988.508025,7253.369531999999,9374.525681000001,14639.848128,,12473.939112,16842.452783,5098.298275,,9861.929187828564,8830.308439336919,7967.181324310309,68353.37923201924
